product_upc,item_number,item_description,case_upc,case_pack,department,supplier
000000000005000096266,11245679,Eloquent Infallible Roentgen,5000096267,24.0,1,Nestle/Purina
000000000002310002452,11251743,Epic Stoic Rosalind,,24.0,1,Mars Petcare Us Inc
000000000004133112426,10760155,Boring Dazzling Einstein,,24.0,1,Goya Foods, Inc.#01Efx###
000000000003000057051,10221274,Modest Nifty Lovelace,,12.0,1,Quaker Oats     #Ucs
000000000061300871019,10131005,Admiring Loving Northcutt,61300871017,4.0,1,Arizona Beverages ##01Ucs##
000000000004144947154,10160021,Practical Tender Chebyshev,,12.0,1,Continental Mills,Inc ##Ucs##
000000000004119006586,11370636,Objective Stoic Lamport,,1.0,1,Niagara Bottling
000000000003600054312,11290023,Objective Wizardly Perlman,,6.0,1,Kimberly Clark 2Hr Unld. #Ucs#
000000000003700050960,11151692,Dreamy Elated Elbakyan,3700093123,4.0,1,P&G-2Hr Unld   #Ucs
000000000005000057216,11241887,Amazing Friendly Dijkstra,5000057217,24.0,1,Nestle/Purina
000000000003700080704,11110727,Brave Festive Johnson,3700090802,6.0,1,P&G-2Hr Unld   #Ucs
000000000004119008312,11120048,Dazzling Keen Pike,,12.0,1,Davion Inc
000000000003500014108,11121045,Upbeat Zen Bose,3500014177,18.0,1,Colgate Palmolive#01Ucs###
000000000005100016888,10831053,Eager Fervent Raman,,8.0,1,Campbells Soup Co
000000000004119007185,10934429,Eager Elegant Ritchie,,16.0,1,Pbc Nutritionals Inc
000000000004145703705,10934429,Eager Elegant Ritchie,,16.0,Pbc Nutritionals Inc
000000000005100021242,10822965,Condescending Jolly Jang,,12.0,1,Campbells Soup Co
000000000007294074003,10723967,Distracted Dreamy Mahavira,,12.0,1,Red Gold Inc
000000000004119007440,10741664,Adoring Naughty Johnson,,4.0,1,Prana Imports Inc
000000000003027103407,10660355,Optimistic Quizzical Edison,,12.0,1,B & G Foods Inc   ##01Ucs##
000000000003620000217,10660779,Clever Pensive Roentgen,,12.0,1,Mizkan America Medina Whse
000000000004119006946,10660981,Angry Pedantic Shtern,,6.0,1,Giovanni Food Co Inc
000000000004119008235,10560004,Confident Nostalgic Goldberg,,9.0,1,Sugar Foods Corp
000000000002700044193,10420365,Jolly Nifty Dubinsky,2700044201,12.0,1,Conagra Grocery Products Co
000000000065272971004,10440065,Hopeful Pedantic Kepler,,12.0,1,Eagle Family Foods Group
000000000002100005783,10440276,Distracted Heuristic Jang,,1.0,1,Kraft Foods   #01Ucs###
000000000002550030407,10270036,Suspicious Upbeat Feynman,,6.0,1,Smuckers #Ucs
000000000061124736764,10270948,Awesome Quizzical Bassi,,4.0,1,Green Mountain Coffee Roasters
000000000061124736766,10271245,Clever Hardcore Kilby,,4.0,1,Green Mountain Coffee Roasters
000000000003400039992,10016776,Angry Sharp Borg,,8.0,1,Hershey Chocolate #01Ucs###
000000000004119006588,11371519,Admiring Heuristic Spence,,1.0,1,Niagara Bottling
000000000001370082410,11323883,Cocky Lucid Mestorf,1370081212,9.0,1,Pactiv, Inc.
000000000001370057150,11330012,Blissful Clever Jones,,6.0,1,Pactiv, Inc.
000000000004119008653,11330020,Focused Objective Benz,,6.0,1,Trinity Packaging  #01Ucs###
000000000004119008888,11330039,Quirky Zealous Heisenberg,,12.0,1,Ajm Packaging Corp.###Ucs###
000000000003390002102,11330039,Quirky Zealous Heisenberg,,12.0,Ajm Packaging Corp.###Ucs###
000000000002310012176,11252210,Compassionate Eloquent Benz,,1.0,1,Mars Petcare Us Inc
000000000003077211809,11140016,Angry Epic Sammet,,4.0,1,P&G-2Hr Unld   #Ucs
000000000007261347335,11150132,Cocky Vigorous Curie,,4.0,1,The Dial Corporation #Ucs
000000000004119007741,11040003,Elastic Eloquent Swirles,,9.0,1,Rga Enterprises Inc #01X12#
000000000003700083063,11091915,Determined Jolly Goldstine,3700083148,4.0,1,P&G-2Hr Unld   #Ucs
000000000004460032485,11092034,Modest Nostalgic Hopper,,6.0,1,Clorox    ### Ucs ###
000000000001920078914,11095600,Gifted Reverent Meninsky,,12.0,1,Reckitt Benckiser Inc
000000000007040400008,10621717,Focused Optimistic Borg,,12.0,1,Pompeian Oil  #01Ucs###
000000000004148600027,10650042,Compassionate Hopeful Raman,,20.0,1,Luigi Vitelli ###Ucs###
000000000004119006654,10650910,Fervent Serene Carson,,12.0,1,Winland Foods Inc
000000000004119008243,10490009,Keen Sad Bell,,12.0,1,Bay Valley Foods
000000000004119008359,10490036,Awesome Objective Northcutt,,12.0,1,Bell-Carter Olive ###Ucs###
000000000008000051308,10510047,Cranky Friendly Pare,,24.0,1,Starkist Co
000000000002100004720,10410056,Practical Vigorous Shockley,,12.0,1,Kraft Foods   #01Ucs###
000000000007287843483,10410239,Ecstatic Sleepy Noyce,7287843864,12.0,1,Hormel  #01Ucs###
000000000003900001567,10410849,Adoring Pedantic Ardinghelli,,12.0,1,B & G Foods Inc   ##01Ucs##
000000000001330055501,10181872,Jolly Suspicious Albattani,,8.0,1,Hometown Food Co
000000000007172087000,10014407,Brave Distracted Ritchie,,12.0,1,Tootsie Roll Inc     ###Ucs###
000000000004119006730,10014407,Brave Distracted Ritchie,,12.0,Tootsie Roll Inc     ###Ucs###
000000000000000004023,30242910,Adoring Trusting Lalande,,18.0,3,Chiquita Tropical Proucts
000000000000000004053,30246300,Gifted Keen Bartik,,115.0,3,Ch Robinson
000000000000000004022,30242460,Blissful Silly Turing,,18.0,3,A J Produce Corp
000000000081652601000,30242460,Blissful Silly Turing,,18.0,A J Produce Corp
000000000000000004080,30254800,Elated Friendly Agnesi,,11.0,3,Jd Piedimonte & Sons
000000000000000004240,30242110,Confident Loving Shannon,,12.0,3,Westlake Distributors Inc
000000000000000004225,30246610,Quirky Zen Lichterman,,48.0,3,Mama Mia Produce Llc
000000000000000003283,30233890,Hardcore Kind Blackwell,,40.0,3,Pavero Cold Storage
000000000000000004062,30266580,Elated Fervent Euclid,,65.0,3,Grower Network Llc
000000000000000004664,30251590,Friendly Practical Pare,,11.0,3,Grimmway Farms
000000000068925900572,30277450,Elastic Heuristic Kapitsa,,10.0,3,Nature Fresh Farms Sales Inc
000000000000000094011,30278720,Jovial Nifty Mccarthy,,40.0,3,Chiquita Banana Inc
000000000000000009845,30241910,Practical Wizardly Bhabha,,8.0,3,New York Produce
000000000000000004054,30242200,Inspiring Zealous Wescoff,,12.0,3,Naturipe Farms Llc
000000000000000004050,30240120,Brave Xenodochial Feynman,,9.0,3,Westlake Distributors Inc
000000000000000004593,30251210,Naughty Trusting Babbage,,12.0,3,Mid-Atlantic Distributors,Inc.
000000000000000004088,30252880,Adoring Determined Almeida,,15.0,3,Natural Selection Foods
000000000000000003440,30248410,Confident Dazzling Wozniak,824150122227,22.0,3,Pom Wonderful
000000000081318701033,30240310,Determined Naughty Austin,,12.0,3,Westlake Distributors Inc
000000000000000004051,30247080,Amazing Goofy Clarke,,12.0,3,New York Produce
000000000000000009101,30254000,Dazzling Serene Lumiere,,48.0,3,Grimmway Farms
000000000000000009541,30251150,Nifty Quizzical Payne,,8.0,3,Mama Mia Produce Llc
000000000003338365162,30250400,Elated Sad Dijkstra,,12.0,3,Dynasty Farms Headquarters
000000000000000094068,30277520,Silly Unruffled Hodgkin,,48.0,3,Garden State Farm
000000000004119007645,30268250,Eloquent Sharp Darwin,,15.0,3,Garden State Farm
000000000003120090004,30287320,Heuristic Sleepy Goodall,,24.0,3,David Oppenheimer #16X12#
000000000000000004093,30235580,Naughty Zen Elbakyan,,25.0,3,A J Produce Corp
000000000075166677155,30248820,Flamboyant Objective Haibt,,15.0,3,Ns Brands Limited
000000000074069565355,30258320,Agitated Angry Brattain,,24.0,3,Dynasty Farms Headquarters
000000000004119007636,30700500,Hardcore Inspiring Proskuriakova,,10.0,3,Earthfresh Llc
000000000004119007648,30269630,Relaxed Wizardly Fermi,,30.0,3,Grimmway Farms
000000000000000004782,30255400,Dazzling Modest Clarke,,18.0,3,Westlake Distributors Inc
000000000085739400610,30254450,Sleepy Vibrant Carson,,8.0,3,Little Leaf Farms Llc
000000000000000004238,30261970,Modest Nervous Meninsky,,65.0,3,Chiquita Banana Inc
000000000000000004067,30255360,Focused Quizzical Shaw,,21.0,3,Westlake Distributors Inc
000000000000000004235,30261940,Gallant Jovial Kepler,,65.0,3,New York Produce
000000000000000004061,30250090,Musing Relaxed Meitner,,24.0,3,Grimmway Farms
000000000000000009511,30242010,Condescending Flamboyant Bell,,12.0,3,Procacci Direct Sales
000000000004119007649,30269640,Stupefied Zen Lalande,,15.0,3,Grimmway Farms
000000000007127912301,30257570,Musing Stupefied Mccarthy,7127911175,12.0,3,Fresh Express Mid-Atl #16Efx#
000000000000000004078,30303210,Nervous Serene Franklin,,48.0,3,Westlake Distributors Inc
000000000004119006637,30285510,Brave Naughty Edison,,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000004119008953,30700690,Reverent Stupefied Saha,,20.0,3,Minkus Family Farms
000000000007127930104,30285390,Laughing Objective Borg,7127949805,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000000000004799,30251620,Agitated Stoic Wilson,,15.0,3,Village Farms
000000000074447300028,30251620,Agitated Stoic Wilson,,15.0,Village Farms
000000000080836233043,30252890,Amazing Relaxed Mendeleev,,8.0,3,Mama Mia Produce Llc
000000000000000094889,30275700,Competent Elastic Torvalds,,30.0,3,Garden State Farm
000000000000000094901,30274500,Condescending Trusting Bell,,30.0,3,Procacci Bros Sales
000000000007127930919,30285460,Loving Quizzical Vaughan,7127956946,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000000000004066,30254840,Cocky Heuristic Morse,,26.0,3,Westlake Distributors Inc
000000000005783602064,30304940,Modest Quizzical Goldstine,5783608011,10.0,3,Mastronardi Produce
000000000004119005735,30303860,Infallible Unruffled Euclid,,8.0,3,Veg Pro International Inc
000000000000000003502,30240780,Gifted Loving Hermann,,19.0,3,Chiquita Tropical Proucts
000000000000000094891,30265490,Blissful Gracious Mccarthy,7878300468,24.0,3,Grimmway Farms
000000000000000009475,30232270,Angry Thirsty Khorana,,16.0,3,Bushwick Commision
000000000030573245114,30232270,Angry Thirsty Khorana,,16.0,Bushwick Commision
000000000004119007608,30285920,Admiring Reverent Hoover,,8.0,3,Ippolito Fruit & Produce Lmt
000000000075166677605,30252520,Affectionate Relaxed Bassi,,9.0,3,Ns Brands Limited
000000000000000009031,30252440,Jolly Modest Leakey,,6.0,3,Goodness Gardens  #16X12#
000000000000000093441,30278710,Objective Sad Edison,,35.0,3,Mama Mia Produce Llc
000000000004119008883,30700710,Confident Trusting Ritchie,,12.0,3,Sterman Masser Potato Farms
000000000007127910302,30257450,Angry Determined Ritchie,7127956087,12.0,3,Fresh Express Mid-Atl #16Efx#
000000000004119008621,30245400,Condescending Youthful Golick,,8.0,3,Ippolito Fruit & Produce Lmt
000000000088804800029,30276830,Condescending Nifty Chandrasekhar,,9.0,3,Veg Pro International Inc
000000000004119007622,30700480,Romantic Upbeat Carson,,10.0,3,Earthfresh Llc
000000000004119006646,30286810,Pensive Serene Bassi,,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000000000094627,30274390,Elastic Wizardly Mendeleev,,24.0,3,Cal Organic
000000000004119005739,30303800,Clever Hopeful Kepler,,6.0,3,Veg Pro International Inc
000000000004119007647,30268420,Cranky Flamboyant Tereshkova,,20.0,3,Garden State Farm
000000000000000004688,30252560,Goofy Zealous Nobel,,11.0,3,Village Farms
000000000000000004554,30600070,Condescending Cranky Austin,,25.0,3,Hollar & Greene Produce Co Inc
000000000007127915101,30257790,Condescending Heuristic Pare,7127949311,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000003204521200,30241850,Cocky Reverent Hamilton,,12.0,3,A J Produce Corp
000000000074183900592,30234550,Musing Pedantic Mayer,,9.0,3,Stemilt Growers
000000000000000004605,30254520,Boring Competent Keller,,24.0,3,Frank Donio #16Efx#
000000000000000004689,30252660,Keen Sleepy Euclid,,11.0,3,Village Farms
000000000000000004395,30246850,Vigorous Youthful Bhaskara,,35.0,3,Caraveo Papayas Inc
000000000000000004427,30247870,Nostalgic Suspicious Easley,,20.0,3,A J Produce Corp
000000000075166695005,30266850,Jolly Trusting Austin,75166695155,15.0,3,Ns Brands Limited
000000000004119006636,30286840,Friendly Inspiring Perlman,,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000000000094089,30240260,Jovial Kind Brahmagupta,,24.0,3,Garden State Farm
000000000007127926102,30257670,Friendly Pensive Dubinsky,7127949196,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000000000094614,30240540,Modest Suspicious Wing,,24.0,3,Cal Organic
000000000075166610305,30248830,Admiring Determined Stallman,,15.0,3,Ns Brands Limited
000000000000000004065,30252700,Friendly Hungry Hodgkin,,22.0,3,Westlake Distributors Inc
000000000005783693014,30221850,Friendly Modest Panini,5783642507,12.0,3,Mastronardi Produce
000000000000000094899,30274850,Goofy Silly Nobel,,30.0,3,Procacci Bros Sales
000000000000000003093,30242660,Eloquent Silly Wescoff,,16.0,3,Ch Robinson
000000000007127930922,30285320,Elegant Romantic Wright,7127957086,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000005783600001,30260200,Amazing Flamboyant Ramanujan,,4.0,3,Mastronardi Produce
000000000007127930100,30257880,Gracious Hungry Clarke,7127957158,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000005114137289,30257880,Gracious Hungry Clarke,7127957158,6.0,Fresh Express Mid-Atl #16Efx#
000000000004119007095,30230060,Ecstatic Happy Yonath,,10.0,3,Garden State Farm
000000000000000094615,30251040,Gifted Relaxed Davinci,,12.0,3,Cal Organic
000000000076317194063,30252770,Cranky Naughty Jang,,6.0,3,Alderman Farms Sales Corp
000000000004119007139,30286220,Cocky Condescending Chebyshev,,12.0,3,Grimmway Farms
000000000000000094629,30275500,Sad Stoic Spence,,12.0,3,Four Seasons Produce
000000000004119008070,30269870,Infallible Laughing Sammet,,6.0,3,Taylor Farms
000000000007049216500,30265640,Competent Hopeful Brahmagupta,,12.0,3,Temp-Jsl Foods #4010Ucs#
000000000000000003121,30252630,Elastic Kind Goldberg,,11.0,3,Village Farms
000000000081642601286,30242980,Heuristic Hungry Clarke,81642601649,10.0,3,Divine Flavor Llc
000000000004119007580,30269160,Romantic Vibrant Yalow,,6.0,3,Taylor Farms
000000000000000094587,30271020,Sleepy Zealous Snyder,,12.0,3,Cal Organic
000000000000000009709,30236730,Awesome Nifty Turing,,8.0,3,Westlake Distributors Inc
000000000085739400624,30290880,Competent Fervent Nightingale,857394006244,8.0,3,Little Leaf Farms Llc
000000000075576300475,30269230,Adoring Epic Engelbart,,6.0,3,Makoto Dressing Inc
000000000000000004085,30256100,Frosty Happy Yalow,9999961217,5.0,3,Giorgio Fresh Co Attn:Acct Rec
000000000089520300117,30508080,Eager Gracious Brattain,,6.0,3,Baldor Specialty Foods
000000000000000004030,30247500,Hardcore Inspiring Bardeen,,90.0,3,Procacci Direct Sales
000000000004119007569,30700360,Festive Wizardly Engelbart,,6.0,3,Miami Agro Import Inc
000000000004119007082,30286120,Distracted Quizzical Ride,,3.0,3,Soil Organic Inc
000000000007146426040,30270190,Sad Stoic Almeida,7146426440,6.0,3,Wm Bolthouse Farms Inc
000000000004119007575,30269210,Agitated Vibrant Keller,,6.0,3,Taylor Farms
000000000004119008225,30700580,Admiring Gracious Joliot,,6.0,3,Sterman Masser Potato Farms
000000000004119009017,30288850,Adoring Nervous Lewin,,8.0,3,Veg Pro International Inc
000000000007127923201,30258380,Awesome Trusting Lamport,7127956318,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000007127930207,30258470,Clever Festive Chaplygin,7127957227,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000004119005737,30303820,Epic Tender Mcnulty,,8.0,3,Veg Pro International Inc
000000000072534141113,30279500,Brave Peaceful Mendeleev,,6.0,3,Orchid Island Juice Co
000000000000000094586,30275270,Eloquent Jolly Williams,,12.0,3,Cal Organic
000000000002198510037,30252450,Dreamy Kind Bohr,,6.0,3,Goodness Gardens  #16X12#
000000000003077212145,30252450,Dreamy Kind Bohr,,6.0,Goodness Gardens  #16X12#
000000000000000003111,30246950,Elegant Friendly Booth,,9.0,3,New Limeco Llc
000000000004119008069,30269830,Eager Thirsty Einstein,,6.0,3,Taylor Farms
000000000061112312000,30252330,Sad Vigorous Chandrasekhar,,6.0,3,B & W Quality Growers
000000000003022306195,30508040,Blissful Gallant Tereshkova,3022307703,6.0,3,Taylor Farms
000000000000000004889,30262850,Naughty Upbeat Meninsky,,60.0,3,Frank Donio #16Efx#
000000000000000003423,30251840,Amazing Goofy Colden,,10.0,3,Mastronardi Produce
000000000000000094017,30279920,Lucid Priceless Jang,,27.0,3,Garden State Farm Xdock
000000000071575620011,30277180,Condescending Wonderful Almeida,,8.0,3,Driscoll Strawberry
000000000000000004759,30255460,Infallible Lucid Albattani,,40.0,3,Greenpoint Distributing Llc
000000000000000004812,30255850,Flamboyant Sad Allen,,20.0,3,Frank Donio #16Efx#
000000000000000004032,30239960,Jovial Mystifying Montalcini,,1.0,3,Garden State Farm
000000000000000094593,30278860,Flamboyant Wizardly Lovelace,,12.0,3,Procacci Direct Sales
000000000071631055134,30500103,Eager Modest Pike,,6.0,3,Garden State Farm Xdock
000000000000000004709,30252920,Awesome Vibrant Bell,,5.0,3,New York Produce
000000000000000003134,30248500,Goofy Serene Lamport,,10.0,3,Frank Donio #16Efx#
000000000000000004735,30248560,Admiring Nervous Shtern,,50.0,3,Dan Schantz Farms
000000000000000004771,30246790,Gifted Keen Bassi,,28.0,3,New York Produce
000000000000000004020,30234210,Awesome Musing Noyce,,27.0,3,Stemilt Growers
000000000000000004130,30234410,Inspiring Tender Aryabhata,,27.0,3,Stemilt Growers
000000000081162002063,30234410,Inspiring Tender Aryabhata,,27.0,Stemilt Growers
000000000003022306253,30304590,Blissful Wizardly Montalcini,3022308491,6.0,3,Taylor Farms
000000000007127925105,30286900,Frosty Goofy Noether,7127957254,6.0,3,Fresh Express Mid-Atl #16Efx#
000000000000000094046,30277980,Blissful Vigilant Shtern,,48.0,3,Natural Selection Foods
000000000004119047148,30274670,Cranky Elated Bohr,,9.0,3,Mayer Brothers Apple Products
000000000000000004899,30256680,Nervous Romantic Colden,,30.0,3,Grimmway Farms
000000000000000004891,30256750,Adoring Optimistic Easley,,24.0,3,Fresh Wave Llc
000000000000000004629,30256780,Dreamy Flamboyant Bose,,12.0,3,Grimmway Farms
000000000000000004901,30256860,Flamboyant Modest Borg,,60.0,3,A J Produce Corp
000000000000000004523,30254690,Inspiring Silly Pare,,11.0,3,Jd Piedimonte & Sons
000000000000000004068,30252290,Naughty Stoic Pasteur,,48.0,3,New York Produce
000000000088804800027,30250140,Awesome Optimistic Hamilton,,9.0,3,Veg Pro International Inc
000000000000000004428,30247910,Pedantic Relaxed Hopper,,22.0,3,Couture Farms #16Efx#
000000000004119007661,30246480,Eager Optimistic Feynman,,6.0,3,Mid-Atlantic Distributors,Inc.
000000000000000003127,30248380,Elated Frosty Kapitsa,82415012230,30.0,3,Pom Wonderful
000000000005310074887,30248380,Elated Frosty Kapitsa,82415012230,30.0,Pom Wonderful
